epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,111.127,1.45721,1.20772,1.01338,0.42697,0.28916,0.25574,0.08432,2.51774,2.44496,1.86416,0.002179,0.002179,0.002179
81,112.501,1.45873,1.24333,1.04854,0.42108,0.33133,0.26563,0.08473,2.49219,2.41359,1.82978,0.00208,0.00208,0.00208
82,113.876,1.3647,1.093,1.0162,0.40243,0.34079,0.28304,0.09753,2.47328,2.28647,1.85934,0.001981,0.001981,0.001981
83,115.256,1.43837,1.12327,1.0291,0.37264,0.30723,0.24833,0.08863,2.49355,2.39371,1.86618,0.001882,0.001882,0.001882
84,116.636,1.54409,1.1958,1.06199,0.4746,0.33133,0.27098,0.09325,2.48116,2.54714,1.89229,0.001783,0.001783,0.001783
85,118.021,1.37635,1.1124,0.99582,0.55944,0.36145,0.32457,0.09904,2.535,2.57137,1.91406,0.001684,0.001684,0.001684
86,119.4,1.4294,1.0797,1.04075,0.47055,0.36408,0.34231,0.1135,2.53208,2.50248,1.91641,0.001585,0.001585,0.001585
87,120.77,1.29057,0.9843,0.98883,0.44634,0.3012,0.30492,0.11033,2.53575,2.60649,1.88403,0.001486,0.001486,0.001486
88,122.146,1.4296,1.1243,1.07337,0.47563,0.28313,0.28462,0.10137,2.54224,2.75194,1.86367,0.001387,0.001387,0.001387
89,123.52,1.35936,0.946,1.00269,0.47721,0.31928,0.30127,0.1023,2.56585,2.69775,1.8929,0.001288,0.001288,0.001288
90,124.888,1.28782,1.03105,1.00915,0.51269,0.38662,0.3548,0.1107,2.58106,2.57574,1.92523,0.001189,0.001189,0.001189
91,126.291,1.21268,0.9428,0.9598,0.56685,0.40361,0.37254,0.12003,2.54545,2.52738,1.94379,0.00109,0.00109,0.00109
92,127.631,1.2182,0.98264,0.99447,0.59272,0.39759,0.35581,0.11232,2.54115,2.55718,1.97057,0.000991,0.000991,0.000991
93,128.948,1.39231,1.02704,1.042,0.53705,0.34337,0.30635,0.10287,2.52551,2.63362,1.92258,0.000892,0.000892,0.000892
94,130.285,1.25952,0.9609,1.03194,0.54851,0.37349,0.32257,0.1103,2.507,2.55653,1.91227,0.000793,0.000793,0.000793
95,131.621,1.24406,0.92899,1.0036,0.59138,0.39157,0.35012,0.11685,2.52375,2.43616,1.9293,0.000694,0.000694,0.000694
96,132.942,1.24265,0.91457,0.97956,0.62576,0.41566,0.37627,0.1218,2.53765,2.36351,1.94512,0.000595,0.000595,0.000595
97,134.281,1.11838,0.88764,0.98246,0.62649,0.39759,0.37487,0.12196,2.55694,2.32346,1.95174,0.000496,0.000496,0.000496
98,135.624,1.15952,0.96117,0.97265,0.63006,0.39759,0.37617,0.12266,2.56457,2.30191,1.93444,0.000397,0.000397,0.000397
99,136.96,1.17512,0.95682,0.9901,0.57428,0.39157,0.37773,0.12449,2.55867,2.31355,1.92705,0.000298,0.000298,0.000298
100,138.294,1.15097,0.98332,0.94902,0.56409,0.39157,0.37016,0.11957,2.56103,2.31745,1.91202,0.000199,0.000199,0.000199
